관리번호,사업장명,인허가일자,소재지도로명주소,소재지지번주소,소재지우편번호,위도,경도,통합영업상태명,영업상태명,소재지시설전화번호,소재지면적정보,X좌표값,Y좌표값,영업장주변구분명,급수시설구분명,다중이용업소여부,시설총규모정보,카테고리
5610000-101-2008-00124,(유)아웃백스테이크하우스코리아 영통점,20080811,"경기도 수원시 영통구 봉영로 1613, 지하층 (영통동, 남광하우스토리 지09-1호 ~ 지09-7호)",경기도 수원시 영통구 영통동 958-3 영통하우스토리 지09-1 ~ 지09-7,16703.0,37.2551172915,127.0739311025,영업/정상,영업,02-3019-7135,603.20,206487.708504445,417023.368667667,,,Y,603.2,양식
3760000-101-2022-00173,(유튜브박뮤직코리아)7080별밤,20220720,"경기도 수원시 권선구 경수대로261번길 6-27, 대영빌딩 지1층 (세류동)",경기도 수원시 권선구 세류동 1120-13 대영빌딩,16590.0,37.25179652,127.0188656933,영업/정상,영업,,114.32,201600.928117633,416653.092526251,,상수도전용,Y,114.32,카페
3750000-101-1999-00187,(장안)전주콩나물국밥,19990907,경기도 수원시 장안구 조원로89번길 31 (조원동),경기도 수원시 장안구 조원동 766-11,16286.0,37.2998501693,127.0145541768,영업/정상,영업,031-251-1174,39.95,201222.215093014,421984.36029992,주택가주변,상수도전용,N,39.95,한식
5610000-101-2003-00078,(주) 아름다운 땅,20030212,경기도 수원시 영통구 청명남로4번길 2 (영통동),경기도 수원시 영통구 영통동 1000-8,16705.0,37.2502663275,127.0735299325,영업/정상,영업,031-204-8875,101.20,206452.875942674,416484.694536651,,상수도전용,N,101.2,한식
3760000-101-2020-00174,(주)가온에프앤에스 도이치오토월드점,20200626,"경기도 수원시 권선구 권선로 308-5, B1021,B1095~B1105호 (고색동)",경기도 수원시 권선구 고색동 1191,16602.0,37.2581022749,126.987824855,영업/정상,영업,031-5174-0300,"1,064.92",198848.998045228,417348.818612626,,상수도전용,Y,1064.92,한식
5610000-101-2019-00220,(주)가화 교대이층집,20190702,"경기도 수원시 영통구 덕영대로 1539, 2층 (영통동)",경기도 수원시 영통구 영통동 976-11,16698.0,37.2462929728,127.0592551654,영업/정상,영업,,254.50,205187.16544426,416043.469755102,,,Y,254.5,기타
3770000-101-2026-00043,(주)갠지스,20260219,"경기도 수원시 팔달구 정조로861번길 22, 2층 (신풍동)",경기도 수원시 팔달구 신풍동 170-10,16252.0,37.2847336141,127.0144933614,영업/정상,영업,,.00,201213.901818872,420306.289635535,,,Y,0.0,양식
5610000-101-2020-00100,(주)갤러리아광교 청,20200224,"경기도 수원시 영통구 광교중앙로 124, 갤러리아 광교 9층 (하동)",경기도 수원시 영통구 하동 871-1 갤러리아 광교,16514.0,37.2852806337,127.0574598014,영업/정상,영업,031-5174-7911,239.60,205023.582888351,420361.248170516,,,Y,239.6,기타
3750000-101-2024-00105,(주)고고파트너스 샤오웍스 북수원점,20240408,"경기도 수원시 장안구 경수대로 930, 삼성홈플러스 1층 X3YD호 (조원동)",경기도 수원시 장안구 조원동 896 삼성홈플러스,16295.0,37.3027649664,127.0088032891,영업/정상,영업,,22.00,200709.882380059,422304.072402192,,상수도전용,N,22.0,중식
5610000-101-2020-00219,(주)금우돈,20200525,"경기도 수원시 영통구 광교호수공원로 80, 판매제이동 160~167호 (원천동, 광교아이파크)",경기도 수원시 영통구 원천동 593 광교아이파크,16514.0,37.2742096004,127.0617882742,영업/정상,영업,,218.16,205357.807142949,419119.019700523,,,N,218.16,한식
3750000-101-2004-00055,(주)김경자소문난대구왕뽈찜,20040316,"경기도 수원시 장안구 경수대로973번길 13-17, 2층~4층 (송죽동)",경기도 수원시 장안구 송죽동 495-8 2층~4층,16304.0,37.3033360472,127.0052451626,영업/정상,영업,031-245-8259,662.60,200394.291008724,422373.382326167,주택가주변,상수도전용,Y,662.6,한식
5610000-101-2020-00129,(주)깐부치킨 신동까페거리점,20200309,"경기도 수원시 영통구 권선로882번길 65-30, 103호 (신동)",경기도 수원시 영통구 신동 933-11,16683.0,37.2470346092,127.0432622347,영업/정상,영업,,90.54,203767.984483593,416125.902829646,,,N,90.54,치킨
3750000-101-2023-00140,(주)남문떡볶이미성옥 본점,20230912,"경기도 수원시 장안구 경수대로994번길 28, 1층 (송죽동)",경기도 수원시 장안구 송죽동 82,16298.0,37.306576041,127.0040503646,영업/정상,영업,031-242-9890,143.62,200289.407859895,422732.069782571,,상수도전용,N,143.62,분식
3760000-101-2024-00073,(주)내함 한국집 롯데몰 수원점,20240313,"경기도 수원시 권선구 세화로 134, 롯데몰 수원점 3층 (서둔동)",경기도 수원시 권선구 서둔동 381 롯데몰 수원점,16621.0,37.2641013965,126.9973705173,영업/정상,영업,,24.06,199673.378589066,418025.547756245,,,N,24.06,한식
5610000-101-2017-00117,(주)농심 코코이찌방야 롯데몰광교점,20170508,"경기도 수원시 영통구 도청로 10, 3층 (이의동)",경기도 수원시 영통구 이의동 1338,16508.0,37.2865820892,127.0559743208,영업/정상,영업,031-8064-2378,132.50,204888.855554772,420476.391558834,,,Y,132.5,한식
3770000-101-2025-00225,(주)니트로아이,20250818,"경기도 수원시 팔달구 경수대로446번길 24, 5층 (인계동)",경기도 수원시 팔달구 인계동 1025-12,16490.0,37.2655063427,127.0277221029,영업/정상,영업,,17.68,202388.050019474,418173.565177636,,,N,17.68,한식
5610000-101-2018-00265,(주)대가원,20181012,"경기도 수원시 영통구 중부대로368번길 8-12, 1,2층 (매탄동)","경기도 수원시 영통구 매탄동 1197-4 1,2층",16528.0,37.271967611,127.0552029445,영업/정상,영업,031-212-3120,657.60,204826.855807564,418891.030212176,,,Y,657.6,한식
5610000-101-2023-00425,(주)대가원,20231117,"경기도 수원시 영통구 중부대로368번길 8-8, 대가원 1층 (매탄동)",경기도 수원시 영통구 매탄동 1197-3 대가원,16528.0,37.2719054468,127.0554514521,영업/정상,영업,031-212-2130,87.78,204846.075961103,418883.777279562,,,N,87.78,기타
5610000-101-2023-00399,(주)대가원,20231031,"경기도 수원시 영통구 중부대로368번길 8-8, 대가원 2층 (매탄동)",경기도 수원시 영통구 매탄동 1197-3 대가원,16528.0,37.2719054468,127.0554514521,영업/정상,영업,031-212-2120,192.72,204846.075961103,418883.777279562,,,Y,192.72,기타
3750000-101-2005-00124,(주)돈까스클럽북수원,20050527,경기도 수원시 장안구 경수대로1107번길 6 (파장동),경기도 수원시 장안구 파장동 556-2,16347.0,37.3103070979,126.991149803,영업/정상,영업,031-268-2000,289.21,199147.739107966,423152.198206502,기타,상수도전용,N,289.21,양식
3770000-101-2003-50188,(주)디에스컨벤션,20030613,경기도 수원시 팔달구 수성로 92 (화서동),경기도 수원시 팔달구 화서동 436-3 외2필지 농민회관,16432.0,37.2818400133,126.9887695398,영업/정상,영업,031-227-8000,524.48,198939.951346024,420004.023620364,,상수도전용,N,524.48,기타
3770000-101-2019-00019,(주)디케이푸드 수원점,20190121,"경기도 수원시 팔달구 권선로 733, 지하1층 B01호 (인계동, LD그린토피아)","경기도 수원시 팔달구 인계동 1135 LD그린토피아, 지하1층 B01호",16491.0,37.2582391088,127.0317595815,영업/정상,영업,031-689-3571,320.10,202746.954430608,417367.54001781,,상수도전용,Y,320.1,한식
3760000-101-2024-00264,(주)메리빌리아더프레스티지,20240826,"경기도 수원시 권선구 세화로 116, 메리빌리아 웨딩홀 2층 (서둔동)",경기도 수원시 권선구 서둔동 389 메리빌리아 웨딩홀,16621.0,37.2627368329,126.9965563077,영업/정상,영업,,"2,373.50",199629.960572236,417870.266053121,,,Y,2373.5,기타
3750000-101-2011-00148,(주)모락모락,20111004,경기도 수원시 장안구 수성로 331 (정자동),경기도 수원시 장안구 정자동 82-16,16311.0,37.2925224218,127.0081365441,영업/정상,영업,031-257-5433,232.52,200649.598654848,421176.160866957,,,N,232.52,분식
5610000-101-2022-00087,(주)모모와친구들 키즈파크,20220325,"경기도 수원시 영통구 광교호수공원로 277, 판매시설동 지하1층 215-1호 (원천동, 광교중흥에스클래스)",경기도 수원시 영통구 원천동 589 광교중흥에스클래스,16517.0,37.2835532241,127.0559244312,영업/정상,영업,,65.54,205026.079641798,420062.878231009,,,N,65.54,기타
3760000-101-2025-00364,(주)미림양장 타임빌라스수원점,20251211,"경기도 수원시 권선구 세화로 134, 타임빌라스 수원 3층 일부호 (서둔동)",경기도 수원시 권선구 서둔동 381 타임빌라스 수원,16621.0,37.2641013965,126.9973705173,영업/정상,영업,,129.25,199673.378589066,418025.547756245,,상수도전용,Y,129.25,한식
3770000-101-2014-00330,(주)바르미 심비디움 AK플라자수원점,20141124,"경기도 수원시 팔달구 덕영대로 924, AK플라자 6층 (매산로1가)",경기도 수원시 팔달구 매산로1가 18 AK플라자,16622.0,37.2656360259,127.000033255,영업/정상,영업,031-8066-0713,700.11,199920.194662903,418246.927112644,기타,상수도전용,Y,700.11,한식
3770000-101-2024-00108,(주)반반한행복 산장화로 본점,20240329,"경기도 수원시 팔달구 권광로180번길 53-12, 1층 103호 (인계동)",경기도 수원시 팔달구 인계동 1121-3,16488.0,37.2634456789,127.0354490577,영업/정상,영업,,195.18,203074.473307972,417947.522613026,,,N,195.18,기타
5610000-101-2025-00238,(주)보우앤파트너스 카소미야 수원영통점,20250717,"경기도 수원시 영통구 청명남로 39, 럭셔리프라자 1층 110호 (영통동)",경기도 수원시 영통구 영통동 998-9 럭셔리프라자,16704.0,37.2532216172,127.0756783434,영업/정상,영업,,109.89,206644.07883035,416812.834725723,,,N,109.89,일식
5610000-101-2024-00346,(주)북경오리구이 광교점,20241030,"경기도 수원시 영통구 센트럴타운로 85, C118~C120호 (이의동, 광교C1 호반베르디움, Summit Place광교)","경기도 수원시 영통구 이의동 1332 광교C1 호반베르디움, Summit Place광교",16507.0,37.2915640479,127.0504732206,영업/정상,영업,,309.10,204409.226022404,420967.617798492,,,Y,309.1,중식
5610000-101-2024-00213,(주)브라더스스토어 23번지 남산돈까스 이마트광교점,20240619,"경기도 수원시 영통구 광교로 191, 1층 (이의동)",경기도 수원시 영통구 이의동 1240,16226.0,37.2963728697,127.0469017985,영업/정상,영업,,34.05,204159.790041271,421622.575799907,,,N,34.05,양식
3750000-101-2025-00035,(주)브라더스스토어 계도 수원점,20250228,"경기도 수원시 장안구 일월로66번길 19, 1층 (천천동)",경기도 수원시 장안구 천천동 366-8,16421.0,37.2890603619,126.9784881856,영업/정상,영업,,78.71,198021.774444647,420788.723265855,,상수도전용,N,78.71,일식
3770000-101-2025-00207,(주)브라더스스토어 단정 에이케이수원점,20250801,"경기도 수원시 팔달구 덕영대로 924, AK플라자 지하1층 (매산로1가)",경기도 수원시 팔달구 매산로1가 18 AK플라자,16622.0,37.2656360259,127.000033255,영업/정상,영업,,25.83,199920.194662903,418246.927112644,,,N,25.83,한식
3760000-101-2025-00211,(주)브라더스토어 동경만향 타임빌라스수원점,20250801,"경기도 수원시 권선구 세화로 134, 타임빌라스 수원 3층 푸드코트 일부호 (서둔동)",경기도 수원시 권선구 서둔동 381 타임빌라스 수원,16621.0,37.2641013965,126.9973705173,영업/정상,영업,,29.96,199673.378589066,418025.547756245,,상수도전용,N,29.96,기타
5610000-101-2025-00327,(주)스노우블러섬,20250926,"경기도 수원시 영통구 대학3로 7, 광교 나보나 스퀘어 2층 207호 일부호 (이의동)",경기도 수원시 영통구 이의동 1254 광교 나보나 스퀘어 2층 207호호,16227.0,37.2998423195,127.041984016,영업/정상,영업,,28.29,203648.355258203,421983.432160026,,상수도전용,N,28.29,기타
5610000-101-2020-00076,(주)스시아지,20200219,"경기도 수원시 영통구 광교중앙로 124, 갤러리아 광교 지하1층 (하동)",경기도 수원시 영통구 하동 871-1 갤러리아 광교,16514.0,37.2852806337,127.0574598014,영업/정상,영업,,47.00,205023.582888351,420361.248170516,,,N,47.0,일식
3760000-101-2020-00017,(주)씨에스피푸드 르사이공롯데몰수원점,20200120,"경기도 수원시 권선구 세화로 134, 롯데몰 수원점 3층 (서둔동)",경기도 수원시 권선구 서둔동 381 롯데몰 수원점,16621.0,37.2641013965,126.9973705173,영업/정상,영업,,112.24,199673.378589066,418025.547756245,,상수도전용,Y,112.24,기타
5610000-101-2015-00155,(주)아워홈 아주대학교병원장례식장점,20150506,"경기도 수원시 영통구 광교중앙로49번길 46, 지하1층 (원천동)",경기도 수원시 영통구 원천동 산 5-1,16500.0,37.280933319,127.0496001709,영업/정상,영업,031-219-4576,173.02,203953.759187743,420237.186459172,,상수도전용,Y,173.02,한식
3770000-101-2023-00273,(주)아주쌀국수,20230803,"경기도 수원시 팔달구 아주로47번길 7, 1층 (우만동)",경기도 수원시 팔달구 우만동 58-15,16497.0,37.2790613903,127.0433169511,영업/정상,영업,,86.90,203769.882191438,419677.668398972,,상수도전용,N,86.9,기타
3770000-101-2017-00135,(주)알트윈푸드 도조 수원점,20170616,"경기도 수원시 팔달구 덕영대로 924, 6층 (매산로1가, AK플라자)",경기도 수원시 팔달구 매산로1가 18 AK플라자 6층,16622.0,37.2656360259,127.000033255,영업/정상,영업,031-781-7070,275.02,199920.194662903,418246.927112644,,상수도전용,Y,275.02,일식
3770000-101-2013-00089,(주)알트윈푸드다쯔미수원2지점,20130424,"경기도 수원시 팔달구 덕영대로 924, 지하1층 (매산로1가)",경기도 수원시 팔달구 매산로1가 18 지하1층,16622.0,37.2656360259,127.000033255,영업/정상,영업,031-781-1151,51.76,199920.194662903,418246.927112644,,,N,51.76,일식
3770000-101-2018-00030,(주)에스엔에스컴퍼니 토끼정 수원역사점,20180226,"경기도 수원시 팔달구 덕영대로 924, AK플라자 3층 (매산로1가)",경기도 수원시 팔달구 매산로1가 18 AK플라자 3층,16622.0,37.2656360259,127.000033255,영업/정상,영업,,238.92,199920.194662903,418246.927112644,,상수도전용,Y,238.92,양식
3760000-101-2021-00044,(주)유천대가 유천냉면 NC수원터미널점,20210204,"경기도 수원시 권선구 경수대로 270, 5층 (권선동)","경기도 수원시 권선구 권선동 1189 터미널동, 할인점동",16585.0,37.2504974396,127.0208246964,영업/정상,영업,,149.10,201782.733115582,416501.699707548,아파트지역,상수도전용,Y,149.1,한식
3760000-101-2021-00256,(주)이랜드이츠 로운 NC수원터미널,20210827,"경기도 수원시 권선구 경수대로 270, 터미널동, 할인점동 6층 (권선동)","경기도 수원시 권선구 권선동 1189 터미널동, 할인점동",16585.0,37.2504974396,127.0208246964,영업/정상,영업,,705.92,201782.733115582,416501.699707548,,상수도전용,Y,705.92,한식
3770000-101-2024-00385,(주)이랜드이츠 애슐리퀸즈 AK수원점,20241210,"경기도 수원시 팔달구 덕영대로 924, AK플라자 6층 (매산로1가)",경기도 수원시 팔달구 매산로1가 18 AK플라자,16622.0,37.2656360259,127.000033255,영업/정상,영업,070-4757-4809,738.34,199920.194662903,418246.927112644,학교정화(상대),,Y,738.34,기타
5610000-101-2020-00166,(주)이춘복참치 광교점,20200410,"경기도 수원시 영통구 센트럴타운로 85, B201,202-1,2,203-1,2,204-1,2호 (이의동, 광교C1 호반베르디움, Summit Place광교)","경기도 수원시 영통구 이의동 1332 광교C1 호반베르디움, Summit Place광교",16507.0,37.2915640479,127.0504732206,영업/정상,영업,,518.31,204409.226022404,420967.617798492,,,Y,518.31,일식
5610000-101-2016-00171,(주)재화푸드,20160627,경기도 수원시 영통구 광교중앙로 274 (하동),경기도 수원시 영통구 하동 968,16512.0,37.2943633325,127.0687681111,영업/정상,영업,031-215-8259,28.05,206029.339461593,421377.28805946,,,N,28.05,중식
3760000-101-2025-00088,(주)정드림흑염소 수원권선점,20250414,"경기도 수원시 권선구 경수대로 334, 1층 (권선동)",경기도 수원시 권선구 권선동 1004-1,16566.0,37.2563269595,127.0224341927,영업/정상,영업,,116.96,201920.130127086,417160.295722271,,상수도전용,N,116.96,기타
3750000-101-2015-00149,(주)정성푸드마스타 소담치킨 정자지점,20150930,경기도 수원시 장안구 송정로60번길 7 (정자동),경기도 수원시 장안구 정자동 36-4,16312.0,37.2957139052,127.0039524451,영업/정상,영업,1661-5092,22.60,200279.761997186,421526.462630244,,상수도전용,N,22.6,한식
3770000-101-2008-00275,(주)중앙면옥,20081119,경기도 수원시 팔달구 효원로307번길 51 (인계동),경기도 수원시 팔달구 인계동 1121-5,16488.0,37.2633129493,127.0360814346,영업/정상,영업,,301.15,203124.215451718,417927.201364056,,,N,301.15,한식
3750000-101-2013-00022,(주)천지염소탕,20130308,경기도 수원시 장안구 영화로26번길 15 (영화동),경기도 수원시 장안구 영화동 414-4,16271.0,37.2897715908,127.009925698,영업/정상,영업,031-248-5679,82.80,200817.976,420870.438,,,N,82.8,한식
3770000-101-2023-00417,(주)캘리스코 사보텐 AK수원점,20231121,"경기도 수원시 팔달구 덕영대로 924, AK플라자 6층 (매산로1가)",경기도 수원시 팔달구 매산로1가 18 AK플라자,16622.0,37.2656360259,127.000033255,영업/정상,영업,,132.23,199920.194662903,418246.927112644,,상수도전용,Y,132.23,기타
5610000-101-2020-00374,(주)커피빈코리아 광교아브뉴프랑점,20200917,"경기도 수원시 영통구 센트럴타운로 85, 1층 A122, 123호 (이의동, 광교C1 호반베르디움, Summit Place광교)","경기도 수원시 영통구 이의동 1332 광교C1 호반베르디움, Summit Place광교",16507.0,37.2915640479,127.0504732206,영업/정상,영업,031-216-9308,212.10,204409.226022404,420967.617798492,,,N,212.1,기타
3750000-101-2015-00049,(주)코리아세븐 수원KT위즈펍점,20150331,"경기도 수원시 장안구 경수대로 893, 3층 (조원동, 수원종합운동장야구장)",경기도 수원시 장안구 조원동 775,16308.0,37.2986133944,127.0075552928,영업/정상,영업,031-251-5600,216.16,200883.124112087,421767.364292166,,,Y,216.16,기타
3760000-101-2013-00133,(주)파티웨딩유,20130910,"경기도 수원시 권선구 세화로 218, 수원사랑웨딩컨벤션 3층 (서둔동)",경기도 수원시 권선구 서둔동 9-16 수원사랑웨딩컨벤션 3층,16431.0,37.2715020945,126.9953136452,영업/정상,영업,031-248-4477,407.72,199517.104045085,418818.88093917,기타,상수도전용,Y,407.72,기타
3770000-101-2005-00185,(주)포동이네,20050824,경기도 수원시 팔달구 효원로249번길 38 (인계동),경기도 수원시 팔달구 인계동 1043-13,16490.0,37.2642537562,127.030075754,영업/정상,영업,031-237-1360,76.24,202598.54603548,418035.515258094,,,N,76.24,일식
3760000-101-2016-00094,(주)한양에프엔비 조선속초코다리냉면 수원점,20160425,"경기도 수원시 권선구 세화로 134, 지하1층 (서둔동, 롯데몰수원)","경기도 수원시 권선구 서둔동 296-77 롯데몰수원, 지하1층",16621.0,37.2641013965,126.9973705173,영업/정상,영업,02-569-3929,27.00,199673.378589066,418025.547756245,기타,상수도전용,N,27.0,한식
3770000-101-2024-00146,(주)행궁동식구들 물류창고,20240503,"경기도 수원시 팔달구 정조로861번길 10, 1층 (신풍동)",경기도 수원시 팔달구 신풍동 162,16252.0,37.2848806995,127.0151918443,영업/정상,영업,,99.00,201277.351384304,420320.988361736,,상수도전용,N,99.0,술집
3750000-101-2009-00009,0910멸치집 만석공원점,20090216,경기도 수원시 장안구 만석로 179 (송죽동),경기도 수원시 장안구 송죽동 272-23,16301.0,37.302868655,126.9991324179,영업/정상,영업,,40.48,199849.575123772,422322.831653549,,상수도전용,N,40.48,분식
3760000-101-2025-00260,"1,2,3포차",20250922,"경기도 수원시 권선구 경수대로384번길 33, 1층 101호 (권선동)",경기도 수원시 권선구 권선동 1018-8,16571.0,37.2602090703,127.026198896,영업/정상,영업,,79.97,202246.157991835,417588.465927087,,,N,79.97,한식
3760000-101-2019-00179,1.3수제도시락,20190626,"경기도 수원시 권선구 권선로766번길 14, 1층 (권선동)",경기도 수원시 권선구 권선동 1164-9,16562.0,37.2563925519,127.0343759643,영업/정상,영업,,37.08,202977.249950826,417163.655348749,,상수도전용,N,37.08,한식
3770000-101-2019-00237,1001호프꼬치,20190910,"경기도 수원시 팔달구 고매로23번길 11, 1층 101호 (고등동)",경기도 수원시 팔달구 고등동 64-26,16454.0,37.2720743368,127.004885847,영업/정상,영업,,52.06,200361.670512061,418904.379782232,,상수도전용,N,52.06,기타
3760000-101-2003-00268,1004맛집,20030618,경기도 수원시 권선구 정조로 577 (세류동),경기도 수원시 권선구 세류동 172-13,16576.0,37.260642228,127.0129902523,영업/정상,영업,031-222-0433,31.35,201079.604506177,417635.90630667,,상수도전용,N,31.35,한식
3750000-101-2018-00145,1009 COFFEE,20181022,경기도 수원시 장안구 파장로 40 (파장동),경기도 수원시 장안구 파장동 599-24,16351.0,37.3054525566,126.9962829561,영업/정상,영업,031-244-1009,105.76,199600.647616656,422608.801672937,,상수도전용,N,105.76,기타
3770000-101-2022-00073,1009횟집,20220331,"경기도 수원시 팔달구 덕영대로895번길 11, 2층 (매산로1가)",경기도 수원시 팔달구 매산로1가 114-11,16455.0,37.2690253594,127.0000559606,영업/정상,영업,,97.26,199934.990858595,418564.505314811,,상수도전용,N,97.26,일식
3770000-101-2003-00470,100년한우&100년갈비,20030823,경기도 수원시 팔달구 경수대로428번길 23 (인계동),경기도 수원시 팔달구 인계동 1027-8,16490.0,37.264205666,127.0270535444,영업/정상,영업,031-233-3232,138.90,202329.697841179,418028.376235878,,,N,138.9,한식
3760000-101-2019-00364,101번지남산돈까스 롯데몰수원점,20191227,"경기도 수원시 권선구 세화로 134, 롯데몰 수원점 3층 (서둔동)",경기도 수원시 권선구 서둔동 381 롯데몰 수원점,16621.0,37.2641013965,126.9973705173,영업/정상,영업,031-8066-1831,81.60,199673.378589066,418025.547756245,,,N,81.6,기타
5610000-101-2024-00222,101번지남산돈까스 망포판타지움점,20240624,"경기도 수원시 영통구 덕영대로 1566, 더판타지움 지1층 (영통동)",경기도 수원시 영통구 영통동 981-2,16693.0,37.2451399847,127.0619002742,영업/정상,영업,,39.26,205421.24649796,415910.045603608,,,N,39.26,양식
3760000-101-2019-00356,101호,20191219,"경기도 수원시 권선구 경수대로338번길 28, 1층 (권선동)",경기도 수원시 권선구 권선동 1057-8,16566.0,37.256179766,127.0239349386,영업/정상,영업,,73.38,202050.529603554,417137.308286435,,상수도전용,N,73.38,한식
3770000-101-2015-00271,1080마라탕,20151215,"경기도 수원시 팔달구 향교로 55-1, 1층 (매산로2가)",경기도 수원시 팔달구 매산로2가 8-2 1층,16456.0,37.2697302393,127.0069313859,영업/정상,영업,031-244-7890,55.58,200542.985850343,418642.404848186,,상수도전용,N,55.58,기타
3760000-101-2025-00356,108분식,20251203,"경기도 수원시 권선구 권선로357번길 70, 가온팰리스 C동 108호 (서둔동)",경기도 수원시 권선구 서둔동 438 가온팰리스 C동,16619.0,37.261473581,126.9920311236,영업/정상,영업,,45.63,,,,상수도전용,N,45.63,분식
3760000-101-1994-00030,10억 순대국 감자탕,19941115,경기도 수원시 권선구 세지로 7 (세류동),경기도 수원시 권선구 세류동 1005-19,16588.0,37.2531313206,127.0146285701,영업/정상,영업,031-232-8592,111.15,201222.684104248,416800.686412464,기타,상수도전용,N,111.15,기타
5610000-101-2024-00340,1119,20241022,"경기도 수원시 영통구 대학1로8번길 54-1, 1층 (이의동)",경기도 수원시 영통구 이의동 1270-7,16226.0,37.2979311154,127.0442522162,영업/정상,영업,,97.29,203852.257631579,421773.113685464,,,N,97.29,기타
3770000-101-2004-00002,119양푼이,20040106,경기도 수원시 팔달구 월드컵로211번길 3 (우만동),경기도 수원시 팔달구 우만동 58-27,16497.0,37.2800151898,127.0428825339,영업/정상,영업,,45.56,203724.584770386,419776.904759314,,,N,45.56,한식
3770000-101-2022-00335,12인치(12INCH),20221014,"경기도 수원시 팔달구 정조로 868, 2층 (북수동)",경기도 수원시 팔달구 북수동 171,16253.0,37.2855863978,127.0158303455,영업/정상,영업,,75.30,201334.53004872,420403.034823141,,상수도전용,N,75.3,기타
3770000-101-2015-00229,153구포국수 수원시청역점,20151012,"경기도 수원시 팔달구 권광로 181, 105호 (인계동, 씨네파크)",경기도 수원시 팔달구 인계동 1113-11 외 1필지 씨네파크 105호,16490.0,37.2637484595,127.032221704,영업/정상,영업,,62.40,202791.447909095,418001.500229101,,상수도전용,N,62.4,한식
3750000-101-2025-00017,153분식,20250123,"경기도 수원시 장안구 경수대로1081번길 21, 1층 일부호 (파장동)",경기도 수원시 장안구 파장동 578,16348.0,37.308325064,126.9934877853,영업/정상,영업,,18.60,199348.715562064,422919.805585304,,상수도전용,N,18.6,분식
